default,student,balance,income
0,0,1073.55,31767.14
0,0,529.25,35704.49
0,0,785.66,38463.50
0,1,919.59,7491.56
0,0,825.51,24905.23
0,1,808.67,17600.45
0,0,1161.06,37468.53
0,0,0.00,29275.27
0,1,0.00,21871.07
0,1,1220.58,13268.56
0,0,237.05,28251.70
0,0,606.74,44994.56
0,0,1112.97,23810.17
0,0,286.23,45042.41
0,0,0.00,50265.31
0,1,527.54,17636.54
0,0,485.94,61566.11
0,0,1095.07,26464.63
0,0,228.95,50500.18
0,0,954.26,32457.51
0,0,1055.96,51317.88
0,0,641.98,30466.10
0,0,773.21,34353.31
0,0,855.01,25211.33
0,0,643.00,41473.51
0,0,1454.86,32189.09
0,0,615.70,39376.39
0,1,1119.57,16556.07
0,0,494.82,54384.78
0,1,448.88,15799.47
0,1,584.90,22429.94
0,0,913.59,46907.23
0,1,1423.94,22634.49
0,1,1499.72,13190.65
0,0,692.03,47806.61
0,0,351.45,35087.49
0,0,742.63,37864.82
0,0,653.12,39489.59
0,0,872.14,41787.57
0,0,837.26,51471.77
0,0,1151.63,42917.47
0,1,220.56,16872.95
0,1,1690.23,19052.57
0,0,408.77,54206.94
0,0,1238.61,50066.68
0,0,1228.31,37408.50
0,0,820.92,47746.54
0,0,857.49,31688.35
0,0,563.62,42641.25
0,1,1282.97,13120.64
0,1,1505.78,26557.14
0,1,904.04,16882.30
0,0,0.00,49956.58
0,1,1294.50,10464.32
0,1,1275.55,15887.47
0,0,1536.59,48766.91
0,0,1332.52,39143.14
0,0,492.08,33379.09
0,0,766.23,46478.29
0,0,690.13,63432.98
0,0,0.00,32481.54
0,0,1480.66,36866.16
0,0,989.06,45344.25
0,0,1302.34,33695.43
0,0,1044.55,54696.77
0,0,0.00,43658.23
0,0,866.03,38363.42
0,0,690.80,48140.47
0,0,597.76,31577.62
0,0,429.49,51311.22
0,0,1398.16,39644.94
0,1,1578.06,19886.49
0,0,857.07,26655.69
0,1,752.46,16211.28
0,1,774.74,15193.73
0,0,728.37,45131.72
0,0,76.99,28392.09
0,0,196.46,41346.79
0,1,948.75,14297.62
0,0,431.92,39369.88
0,0,461.64,46221.21
0,0,572.02,33046.31
0,0,335.57,51258.44
0,0,510.24,60397.72
0,1,1005.16,24038.65
0,1,162.45,13241.75
0,0,932.53,50537.47
0,1,893.33,11905.68
0,0,1332.78,44495.16
0,0,1404.38,35043.11
0,1,1148.97,16578.19
0,0,368.22,57596.83
0,0,449.47,45950.67
0,0,820.02,51584.66
0,1,619.75,15750.62
0,0,1047.72,46416.97
0,0,243.84,47193.89
0,0,186.50,45430.55
0,0,1422.02,38224.03
0,0,383.80,61425.29
0,0,1159.44,45802.10
0,0,882.99,17181.74
0,0,1463.23,65457.85
0,1,1722.36,19311.42
0,1,773.92,14558.91
0,0,958.17,32816.28
0,0,1207.53,68037.58
0,0,1056.61,30546.60
0,0,117.64,46550.27
0,0,596.96,58088.36
0,0,0.00,47729.63
0,1,541.66,16335.70
0,0,1119.18,45020.02
0,1,810.32,20498.67
0,0,271.55,32850.12
0,0,1114.40,47714.02
0,0,867.03,33540.98
0,1,1176.79,17632.71
0,0,610.23,42465.36
0,0,272.62,55449.34
0,0,449.74,49643.43
0,1,827.77,10673.53
0,0,430.00,33925.22
0,0,0.00,31825.76
0,1,1557.34,18404.59
0,0,928.24,33722.16
0,0,1373.45,49101.80
0,1,951.07,18601.53
0,1,1292.21,23065.85
0,0,582.19,24760.80
0,1,339.42,19307.98
0,0,409.98,44641.09
0,0,1216.45,53639.85
0,0,598.46,44124.27
0,1,1487.00,17854.40
0,0,943.80,59976.84
0,0,0.00,49525.75
0,1,996.28,20883.24
0,1,748.30,11248.67
0,0,324.74,15411.52
0,1,575.38,16005.68
0,0,441.74,36012.24
0,0,1188.64,39526.56
0,0,95.15,51371.20
0,0,1015.61,43218.79
0,0,1258.57,44931.67
0,1,1178.24,7750.29
0,0,731.53,43956.06
0,0,350.09,44455.20
0,0,418.85,36901.78
0,0,533.23,39393.54
0,0,95.30,32359.39
0,1,1453.01,15933.00
